Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2025-06-20 10:40:00;Day 1 - Back & Biceps;Bicep Curl (Barbell);1;40.0;kg;6.0;;;;0;;;1h 0m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Bench Press (Smith Machine);1;80.0;kg;10.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Bench Press (Smith Machine);2;80.0;kg;10.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Bench Press (Smith Machine);3;80.0;kg;9.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Bench Press (Smith Machine);4;40.0;kg;10.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Incline Bench Press (Smith Machine);1;70.0;kg;7.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Incline Bench Press (Smith Machine);2;70.0;kg;7.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Incline Bench Press (Smith Machine);3;60.0;kg;8.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Incline Bench Press (Smith Machine);4;60.0;kg;8.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Chest Press (Machine);1;95.0;kg;12.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Chest Press (Machine);2;95.0;kg;10.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Chest Press (Machine);3;95.0;kg;12.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Chest Press (Machine);4;50.0;kg;12.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Triceps Rope Pushdown;1;50.0;kg;13.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Triceps Rope Pushdown;2;50.0;kg;12.0;;;;0;;;47m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Triceps Rope Pushdown;3;50.0;kg;11.0;;;;0;;;47m
2025-06-12 18:56:00;Day 1 - Back & Biceps;Hammer Curl (Dumbbell);1;10.0;kg;8.0;;;;0;;;45m
2025-06-12 18:56:00;Day 1 - Back & Biceps;Hammer Curl (Dumbbell);2;10.0;kg;9.0;;;;0;;;45m
2025-06-12 18:56:00;Day 1 - Back & Biceps;Hammer Curl (Dumbbell);3;10.0;kg;10.0;;;;0;;;45m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Chest Dip;1;0.0;kg;16.0;;;;0;;;47m
2025-05-15 20:15:00;Full Body 1;Hammer Curl (Dumbbell);1;14.0;kg;15.0;;;;0;;;58m
2025-05-15 20:15:00;Full Body 1;Hammer Curl (Dumbbell);2;14.0;kg;12.0;;;;0;;;58m
2025-05-15 20:15:00;Full Body 1;Hammer Curl (Dumbbell);3;14.0;kg;10.0;;;;0;;;58m
2025-06-17 19:06:00;Day 2 - Chest & Triceps;Push Up - Close Grip;1;0.0;kg;10.0;;;;0;;;47m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Squat (Barbell);1;40.0;kg;10.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Squat (Barbell);2;40.0;kg;10.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Leg Press (Machine);1;80.0;kg;10.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Leg Press (Machine);2;80.0;kg;10.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Leg Press (Machine);3;80.0;kg;12.0;;;;0;;;43m
2024-04-04 09:47:00;Home 2;Hammer Curl (Dumbbell);1;18.0;kg;13.0;;;;0;;;1h 2m
2024-04-04 09:47:00;Home 2;Hammer Curl (Dumbbell);2;18.0;kg;13.0;;;;0;;;1h 2m
2024-04-04 09:47:00;Home 2;Hammer Curl (Dumbbell);3;18.0;kg;13.0;;;;0;;;1h 2m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Leg Extension (Machine);1;100.0;kg;10.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Leg Extension (Machine);2;100.0;kg;10.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Leg Extension (Machine);3;100.0;kg;10.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Leg Extension (Machine);4;60.0;kg;10.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Straight Leg Deadlift;1;120.0;kg;3.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Straight Leg Deadlift;2;120.0;kg;5.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Straight Leg Deadlift;3;120.0;kg;5.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Lying Leg Curl (Machine);1;60.0;kg;10.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Lying Leg Curl (Machine);2;100.0;kg;10.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Lying Leg Curl (Machine);3;100.0;kg;12.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Lying Leg Curl (Machine);4;80.0;kg;8.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Single Leg Standing Calf Raise (Machine);1;80.0;kg;10.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Single Leg Standing Calf Raise (Machine);2;80.0;kg;10.0;;;;0;;;43m
2025-06-16 19:28:00;Day 4 - Quads, Hamstrings and Calves;Single Leg Standing Calf Raise (Machine);3;80.0;kg;10.0;;;;0;;;43m
2025-06-13 19:22:00;Day 5 - Shoulders, Traps and Forearms;Seated Overhead Press (Barbell);1;40.0;kg;12.0;;;;0;;;41m
2025-06-13 19:22:00;Day 5 - Shoulders, Traps and Forearms;Seated Overhead Press (Barbell);2;40.0;kg;12.0;;;;0;;;41m
2025-06-13 19:22:00;Day 5 - Shoulders, Traps and Forearms;Seated Overhead Press (Barbell);3;40.0;kg;13.0;;;;0;;;41m
2024-03-22 10:09:00;Home 2;Hammer Curl (Dumbbell);1;18.0;kg;12.0;;;;0;;;31m
2024-03-22 10:09:00;Home 2;Hammer Curl (Dumbbell);2;18.0;kg;12.0;;;;0;;;31m
2024-03-22 10:09:00;Home 2;Hammer Curl (Dumbbell);3;18.0;kg;12.0;;;;0;;;31m
2024-03-20 10:16:00;Home 1;Hammer Curl (Dumbbell);1;18.0;kg;12.0;;;;0;;;37m
2024-03-20 10:16:00;Home 1;Hammer Curl (Dumbbell);2;18.0;kg;12.0;;;;0;;;37m
2024-03-20 10:16:00;Home 1;Hammer Curl (Dumbbell);3;18.0;kg;12.0;;;;0;;;37m
2025-06-13 19:22:00;Day 5 - Shoulders, Traps and Forearms;Rear Delt Reverse Fly (Machine);1;40.0;kg;10.0;;;;0;;;41m
2025-06-13 19:22:00;Day 5 - Shoulders, Traps and Forearms;Rear Delt Reverse Fly (Machine);2;40.0;kg;10.0;;;;0;;;41m
2025-06-13 19:22:00;Day 5 - Shoulders, Traps and Forearms;Rear Delt Reverse Fly (Machine);3;40.0;kg;10.0;;;;0;;;41m
2025-06-13 19:22:00;Day 5 - Shoulders, Traps and Forearms;Upright Row (Barbell);1;40.0;kg;10.0;;;;0;;;41m
